T_K,k_clamp_W_per_mK,k_extrapolate_W_per_mK
1126.9406392694063,249.99999999999997,205.60124344123375
1131.5068493150684,249.99999999999997,204.6357559456715
1136.0730593607307,249.99999999999997,203.66755453719256
1140.6392694063927,249.99999999999997,202.69664689473936
1145.205479452055,249.99999999999997,201.72304069725402
1149.771689497717,249.99999999999997,200.74674362367887
1154.337899543379,249.99999999999997,199.76776335295608
1158.9041095890411,249.99999999999997,198.7861075640279
1163.4703196347032,249.99999999999997,197.8017839358366
1168.0365296803652,249.99999999999997,196.81480014732438
1172.6027397260275,249.99999999999997,195.8251638774334
1177.1689497716895,249.99999999999997,194.83288280510604
1181.7351598173516,249.99999999999997,193.8379646092845
1186.3013698630139,249.99999999999997,192.84041696891092
1190.867579908676,249.99999999999997,191.84024756292766
1195.433789954338,249.99999999999997,190.83746407027687
1200.0,249.99999999999997,189.83207416990084
